共 405 题
1. [单] 依据配电安规，（ ）及电容器接地前应逐相充分放电。 || 选:避雷器 / 电缆 / 导线 / 变压器 || 答:B
2. [单] 依据配电安规，（ ）应提前知晓工作票内容，并做好工作准备。 || 选:工作票签发人 / 工作许可人 / 工作负责人 / 专责监护人 || 答:C
3. [单] 依据配电安规，（ ）有权拒绝违章指挥和强令冒险作业。 || 选:周围人员 / 管理人员 / 作业人员 / 任何人 || 答:C
4. [单] 依据配电安规，不应（ ）停、送电。 || 选:同时 / 约时 / 分时 / 按时 || 答:B
5. [单] 依据配电安规，部分停电的工作装设临时遮栏可用坚韧绝缘材料制成，装设应牢固，并悬挂（ ）标示牌。 || 选:“止步，高压危险！” / “禁止合闸，有人工作！” / “在此工作！” / “禁止合闸，线路有人工作！” || 答:A
6. [单] 依据配电安规，参与公司系统所承担电气工作的外单位或外来人员应熟悉本文件；参加工作前，应经考试合格，并经（ ）认可。作业前，设备运维管理单位应告知现场电气设备接线情况。 || 选:工程管理单位 / 设备运维管理单位 / 公司领导 / 安监部门 || 答:B
7. [单] 依据配电安规，成套接地线应由有（ ）的多股软铜线和专用线夹组成。 || 选:绝缘护套 / 护套 / 透明护套 / 橡胶护套 || 答:C
8. [单] 依据配电安规，城区、（ ）或交通道口和通行道路上施工时，工作场所周围应装设遮栏（围栏），并在相应部位装设警告标示牌。 || 选:山区 / 郊区 / 有人区域 / 人口密集区 || 答:D
9. [单] 依据配电安规，带电作业需要停用重合闸（含已处于停用状态的重合闸），应向（ ）申请并履行工作许可手续。 || 选:调控中心 / 设备运维管理单位 / 值班调控人员或运维人员 / 运行值班负责人 || 答:C
10. [单] 依据配电安规，电缆作业现场应确认检修电缆（ ）已可靠接地。 || 选:各相 / 至少有一处 / 单相 / 至少有两处 || 答:B
11. [单] 依据配电安规，对难以做到与电源完全断开的检修线路、设备，可（ ）其与电源之间的电气连接。 || 选:断开 / 拆除 / 隔离 / 拉开 || 答:B
12. [单] 依据配电安规，封闭式高压配电设备（ ）应装设带电显示装置。 || 选:进线电源侧 / 出线线路侧 / 进线电源侧和出线线路侧 / 进线侧 || 答:C
13. [单] 依据配电安规，封闭式组合电器引出电缆备用孔或母线的终端备用孔应用（ ）封闭。 || 选:绝缘挡板 / 防火泥 / 专用器具 / 遮栏 || 答:C
14. [单] 依据配电安规，高［电］压：①通常指超过低压的电压等级。②特定情况下，指电力系统中（ ）的电压等级。 || 选:输电 / 变电 / 配电 / 用电 || 答:A
15. [单] 依据配电安规，高压待用间隔（已接上母线的备用间隔）应有（ ），并纳入调度控制中心管辖范围。其隔离开关（刀闸）操作手柄、网门应加锁。 || 选:名称 / 编号 / 名称、编号 / 名称、编号、电压等级 || 答:C
